TranscriptID	GeneID	ProteinID	Description
XM_014742255.1	LOC106783586	XP_014597741.1	PREDICTED:_Polistes_canadensis_multiple_inositol_polyphosphate_phosphatase_1-like_(LOC106783586),_mRNA
XM_014742256.1	LOC106783587	XP_014597742.1	PREDICTED:_Polistes_canadensis_protein_MEMO1_(LOC106783587),_mRNA
XM_014742257.1	LOC106783588	XP_014597743.1	PREDICTED:_Polistes_canadensis_protein_MMS22-like_(LOC106783588),_mRNA
XM_014742258.1	LOC106783589	XP_014597744.1	PREDICTED:_Polistes_canadensis_conserved_oligomeric_Golgi_complex_subunit_5_(LOC106783589),_mRNA
XM_014742259.1	LOC106783590	XP_014597745.1	PREDICTED:_Polistes_canadensis_vacuolar_protein_sorting-associated_protein_52_homolog_(LOC106783590),_mRNA
XM_014742260.1	LOC106783584	XP_014597746.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783584_(LOC106783584),_transcript_variant_X2,_mRNA
XM_014742261.1	LOC106783591	XP_014597747.1	PREDICTED:_Polistes_canadensis_ankyrin_repeat,_SAM_and_basic_leucine_zipper_domain-containing_protein_1_(LOC106783591),_mRNA
XM_014742262.1	LOC106783592	XP_014597748.1	PREDICTED:_Polistes_canadensis_high_mobility_group_protein_20A_(LOC106783592),_mRNA
XM_014742263.1	LOC106783593	XP_014597749.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783593_(LOC106783593),_mRNA
XM_014742264.1	LOC106783594	XP_014597750.1	PREDICTED:_Polistes_canadensis_translational_activator_GCN1_(LOC106783594),_mRNA
XM_014742265.1	LOC106783596	XP_014597751.1	PREDICTED:_Polistes_canadensis_serine-rich_adhesin_for_platelets-like_(LOC106783596),_mRNA
XM_014742266.1	LOC106783597	XP_014597752.1	PREDICTED:_Polistes_canadensis_neogenin-like_(LOC106783597),_transcript_variant_X1,_mRNA
XM_014742267.1	LOC106783597	XP_014597753.1	PREDICTED:_Polistes_canadensis_neogenin-like_(LOC106783597),_transcript_variant_X2,_mRNA
XM_014742268.1	LOC106783597	XP_014597754.1	PREDICTED:_Polistes_canadensis_neogenin-like_(LOC106783597),_transcript_variant_X3,_mRNA
XM_014742269.1	LOC106783597	XP_014597755.1	PREDICTED:_Polistes_canadensis_neogenin-like_(LOC106783597),_transcript_variant_X4,_mRNA
XM_014742270.1	LOC106783597	XP_014597756.1	PREDICTED:_Polistes_canadensis_neogenin-like_(LOC106783597),_transcript_variant_X5,_mRNA
XM_014742271.1	LOC106783597	XP_014597757.1	PREDICTED:_Polistes_canadensis_neogenin-like_(LOC106783597),_transcript_variant_X6,_mRNA
XM_014742272.1	LOC106783598	XP_014597758.1	PREDICTED:_Polistes_canadensis_larval_cuticle_protein_A2B-like_(LOC106783598),_mRNA
XM_014742273.1	LOC106783597	XP_014597759.1	PREDICTED:_Polistes_canadensis_neogenin-like_(LOC106783597),_transcript_variant_X7,_mRNA
XM_014742274.1	LOC106783597	XP_014597760.1	PREDICTED:_Polistes_canadensis_neogenin-like_(LOC106783597),_transcript_variant_X8,_mRNA
XM_014742275.1	LOC106783600	XP_014597761.1	PREDICTED:_Polistes_canadensis_beta-1,3-galactosyltransferase_5-like_(LOC106783600),_transcript_variant_X1,_mRNA
XM_014742276.1	LOC106783600	XP_014597762.1	PREDICTED:_Polistes_canadensis_beta-1,3-galactosyltransferase_5-like_(LOC106783600),_transcript_variant_X2,_mRNA
XM_014742277.1	LOC106783600	XP_014597763.1	PREDICTED:_Polistes_canadensis_beta-1,3-galactosyltransferase_5-like_(LOC106783600),_transcript_variant_X3,_mRNA
XM_014742278.1	LOC106783600	XP_014597764.1	PREDICTED:_Polistes_canadensis_beta-1,3-galactosyltransferase_5-like_(LOC106783600),_transcript_variant_X4,_mRNA
XM_014742279.1	LOC106783601	XP_014597765.1	PREDICTED:_Polistes_canadensis_serine-rich_adhesin_for_platelets_(LOC106783601),_mRNA
XM_014742280.1	LOC106783602	XP_014597766.1	PREDICTED:_Polistes_canadensis_AP-1_complex_subunit_gamma-1_(LOC106783602),_transcript_variant_X1,_mRNA
XM_014742281.1	LOC106783602	XP_014597767.1	PREDICTED:_Polistes_canadensis_AP-1_complex_subunit_gamma-1_(LOC106783602),_transcript_variant_X2,_mRNA
XM_014742282.1	LOC106783602	XP_014597768.1	PREDICTED:_Polistes_canadensis_AP-1_complex_subunit_gamma-1_(LOC106783602),_transcript_variant_X3,_mRNA
XM_014742283.1	LOC106783602	XP_014597769.1	PREDICTED:_Polistes_canadensis_AP-1_complex_subunit_gamma-1_(LOC106783602),_transcript_variant_X4,_mRNA
XM_014742284.1	LOC106783602	XP_014597770.1	PREDICTED:_Polistes_canadensis_AP-1_complex_subunit_gamma-1_(LOC106783602),_transcript_variant_X5,_mRNA
XM_014742285.1	LOC106783602	XP_014597771.1	PREDICTED:_Polistes_canadensis_AP-1_complex_subunit_gamma-1_(LOC106783602),_transcript_variant_X6,_mRNA
XM_014742286.1	LOC106783602	XP_014597772.1	PREDICTED:_Polistes_canadensis_AP-1_complex_subunit_gamma-1_(LOC106783602),_transcript_variant_X7,_mRNA
XM_014742287.1	LOC106783603	XP_014597773.1	PREDICTED:_Polistes_canadensis_isoleucine--tRNA_ligase,_cytoplasmic_(LOC106783603),_mRNA
XM_014742288.1	LOC106783602	XP_014597774.1	PREDICTED:_Polistes_canadensis_AP-1_complex_subunit_gamma-1_(LOC106783602),_transcript_variant_X8,_mRNA
XM_014742289.1	LOC106783602	XP_014597775.1	PREDICTED:_Polistes_canadensis_AP-1_complex_subunit_gamma-1_(LOC106783602),_transcript_variant_X9,_mRNA
XM_014742290.1	LOC106783602	XP_014597776.1	PREDICTED:_Polistes_canadensis_AP-1_complex_subunit_gamma-1_(LOC106783602),_transcript_variant_X10,_mRNA
XM_014742291.1	LOC106783604	XP_014597777.1	PREDICTED:_Polistes_canadensis_ADP-ribosylation_factor-related_protein_1_(LOC106783604),_mRNA
XM_014742292.1	LOC106783605	XP_014597778.1	PREDICTED:_Polistes_canadensis_RAC-gamma_serine/threonine-protein_kinase_(LOC106783605),_mRNA
XM_014742293.1	LOC106783606	XP_014597779.1	PREDICTED:_Polistes_canadensis_iron/zinc_purple_acid_phosphatase-like_protein_(LOC106783606),_mRNA
XM_014742294.1	LOC106783607	XP_014597780.1	PREDICTED:_Polistes_canadensis_importin_subunit_alpha-3_(LOC106783607),_transcript_variant_X1,_mRNA
XM_014742295.1	LOC106783607	XP_014597781.1	PREDICTED:_Polistes_canadensis_importin_subunit_alpha-3_(LOC106783607),_transcript_variant_X2,_mRNA
XM_014742296.1	LOC106783609	XP_014597782.1	PREDICTED:_Polistes_canadensis_39S_ribosomal_protein_L3,_mitochondrial_(LOC106783609),_mRNA
XM_014742297.1	LOC106783610	XP_014597783.1	PREDICTED:_Polistes_canadensis_proton-coupled_amino_acid_transporter_1-like_(LOC106783610),_mRNA
XM_014742298.1	LOC106783611	XP_014597784.1	PREDICTED:_Polistes_canadensis_guanine_nucleotide-binding_protein_subunit_beta-like_protein_(LOC106783611),_mRNA
XM_014742299.1	LOC106783608	XP_014597785.1	PREDICTED:_Polistes_canadensis_transcription_factor_AP-2-epsilon_(LOC106783608),_transcript_variant_X1,_mRNA
XM_014742300.1	LOC106783612	XP_014597786.1	PREDICTED:_Polistes_canadensis_NFU1_iron-sulfur_cluster_scaffold_homolog,_mitochondrial-like_(LOC106783612),_mRNA
XM_014742301.1	LOC106783613	XP_014597787.1	PREDICTED:_Polistes_canadensis_replication_protein_A_32_kDa_subunit_(LOC106783613),_mRNA
XM_014742302.1	LOC106783614	XP_014597788.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783614_(LOC106783614),_transcript_variant_X1,_mRNA
XM_014742303.1	LOC106783614	XP_014597789.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783614_(LOC106783614),_transcript_variant_X2,_mRNA
XM_014742304.1	LOC106783614	XP_014597790.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783614_(LOC106783614),_transcript_variant_X3,_mRNA
XM_014742305.1	LOC106783615	XP_014597791.1	PREDICTED:_Polistes_canadensis_toll-like_receptor_3_(LOC106783615),_transcript_variant_X1,_mRNA
XM_014742306.1	LOC106783615	XP_014597792.1	PREDICTED:_Polistes_canadensis_toll-like_receptor_3_(LOC106783615),_transcript_variant_X2,_mRNA
XM_014742307.1	LOC106783608	XP_014597793.1	PREDICTED:_Polistes_canadensis_transcription_factor_AP-2-epsilon_(LOC106783608),_transcript_variant_X2,_mRNA
XM_014742308.1	LOC106783617	XP_014597794.1	PREDICTED:_Polistes_canadensis_UPF0183_protein_CG7083_(LOC106783617),_mRNA
XM_014742309.1	LOC106783618	XP_014597795.1	PREDICTED:_Polistes_canadensis_AP-3_complex_subunit_delta-1_(LOC106783618),_transcript_variant_X1,_mRNA
XM_014742310.1	LOC106783619	XP_014597796.1	PREDICTED:_Polistes_canadensis_serine/threonine-protein_kinase_ATR-like_(LOC106783619),_mRNA
XM_014742311.1	LOC106783620	XP_014597797.1	PREDICTED:_Polistes_canadensis_protein_rhomboid-like_(LOC106783620),_transcript_variant_X1,_mRNA
XM_014742312.1	LOC106783620	XP_014597798.1	PREDICTED:_Polistes_canadensis_protein_rhomboid-like_(LOC106783620),_transcript_variant_X2,_mRNA
XM_014742313.1	LOC106783620	XP_014597799.1	PREDICTED:_Polistes_canadensis_protein_rhomboid-like_(LOC106783620),_transcript_variant_X3,_mRNA
XM_014742314.1	LOC106783621	XP_014597800.1	PREDICTED:_Polistes_canadensis_LIM_homeobox_transcription_factor_1-beta-like_(LOC106783621),_mRNA
XM_014742315.1	LOC106783599	XP_014597801.1	PREDICTED:_Polistes_canadensis_membrane_magnesium_transporter_1_(LOC106783599),_mRNA
XM_014742316.1	LOC106783608	XP_014597802.1	PREDICTED:_Polistes_canadensis_transcription_factor_AP-2-epsilon_(LOC106783608),_transcript_variant_X3,_mRNA
XM_014742317.1	LOC106783622	XP_014597803.1	PREDICTED:_Polistes_canadensis_phosphoenolpyruvate_carboxykinase_[GTP]_(LOC106783622),_transcript_variant_X1,_mRNA
XM_014742318.1	LOC106783622	XP_014597804.1	PREDICTED:_Polistes_canadensis_phosphoenolpyruvate_carboxykinase_[GTP]_(LOC106783622),_transcript_variant_X2,_mRNA
XM_014742319.1	LOC106783623	XP_014597805.1	PREDICTED:_Polistes_canadensis_signal_transducing_adapter_molecule_1_(LOC106783623),_transcript_variant_X1,_mRNA
XM_014742320.1	LOC106783623	XP_014597806.1	PREDICTED:_Polistes_canadensis_signal_transducing_adapter_molecule_1_(LOC106783623),_transcript_variant_X2,_mRNA
XM_014742321.1	LOC106783624	XP_014597807.1	PREDICTED:_Polistes_canadensis_CTD_small_phosphatase-like_protein_2_(LOC106783624),_transcript_variant_X1,_mRNA
XM_014742322.1	LOC106783624	XP_014597808.1	PREDICTED:_Polistes_canadensis_CTD_small_phosphatase-like_protein_2_(LOC106783624),_transcript_variant_X2,_mRNA
XM_014742323.1	LOC106783624	XP_014597809.1	PREDICTED:_Polistes_canadensis_CTD_small_phosphatase-like_protein_2_(LOC106783624),_transcript_variant_X3,_mRNA
XM_014742324.1	LOC106783625	XP_014597810.1	PREDICTED:_Polistes_canadensis_general_transcription_factor_3C_polypeptide_5_(LOC106783625),_transcript_variant_X1,_mRNA
XM_014742325.1	LOC106783608	XP_014597811.1	PREDICTED:_Polistes_canadensis_transcription_factor_AP-2-epsilon_(LOC106783608),_transcript_variant_X4,_mRNA
XM_014742326.1	LOC106783625	XP_014597812.1	PREDICTED:_Polistes_canadensis_general_transcription_factor_3C_polypeptide_5_(LOC106783625),_transcript_variant_X2,_mRNA
XM_014742327.1	LOC106783626	XP_014597813.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783626_(LOC106783626),_mRNA
XM_014742328.1	LOC106783627	XP_014597814.1	PREDICTED:_Polistes_canadensis_E3_ubiquitin-protein_ligase_MARCH2-like_(LOC106783627),_mRNA
XM_014742329.1	LOC106783628	XP_014597815.1	PREDICTED:_Polistes_canadensis_integrin_alpha-PS1_(LOC106783628),_transcript_variant_X1,_mRNA
XM_014742330.1	LOC106783628	XP_014597816.1	PREDICTED:_Polistes_canadensis_integrin_alpha-PS1_(LOC106783628),_transcript_variant_X2,_mRNA
XM_014742331.1	LOC106783628	XP_014597817.1	PREDICTED:_Polistes_canadensis_integrin_alpha-PS1_(LOC106783628),_transcript_variant_X3,_mRNA
XM_014742332.1	LOC106783629	XP_014597818.1	PREDICTED:_Polistes_canadensis_NAD-dependent_protein_deacetylase_Sirt6_(LOC106783629),_mRNA
XM_014742333.1	LOC106783630	XP_014597819.1	PREDICTED:_Polistes_canadensis_metaxin-2-like_(LOC106783630),_mRNA
XM_014742334.1	LOC106783608	XP_014597820.1	PREDICTED:_Polistes_canadensis_transcription_factor_AP-2-epsilon_(LOC106783608),_transcript_variant_X5,_mRNA
XM_014742335.1	LOC106783631	XP_014597821.1	PREDICTED:_Polistes_canadensis_E3_ubiquitin-protein_ligase_UHRF1-like_(LOC106783631),_mRNA
XM_014742336.1	LOC106783632	XP_014597822.1	PREDICTED:_Polistes_canadensis_protein_CutA_homolog_(LOC106783632),_mRNA
XM_014742337.1	LOC106783633	XP_014597823.1	PREDICTED:_Polistes_canadensis_actin-like_protein_6B_(LOC106783633),_transcript_variant_X1,_mRNA
XM_014742338.1	LOC106783633	XP_014597824.1	PREDICTED:_Polistes_canadensis_actin-like_protein_6B_(LOC106783633),_transcript_variant_X2,_mRNA
XM_014742339.1	LOC106783634	XP_014597825.1	PREDICTED:_Polistes_canadensis_F-box/LRR-repeat_protein_4_(LOC106783634),_mRNA
XM_014742340.1	LOC106783635	XP_014597826.1	PREDICTED:_Polistes_canadensis_GPN-loop_GTPase_1_(LOC106783635),_mRNA
XM_014742341.1	LOC106783636	XP_014597827.1	PREDICTED:_Polistes_canadensis_heat_shock_transcription_factor,_Y-linked-like_(LOC106783636),_mRNA
XM_014742342.1	LOC106783638	XP_014597828.1	PREDICTED:_Polistes_canadensis_post-GPI_attachment_to_proteins_factor_3_(LOC106783638),_mRNA
XM_014742343.1	LOC106783639	XP_014597829.1	PREDICTED:_Polistes_canadensis_COP9_signalosome_complex_subunit_5_(LOC106783639),_transcript_variant_X1,_mRNA
XM_014742344.1	LOC106783639	XP_014597830.1	PREDICTED:_Polistes_canadensis_COP9_signalosome_complex_subunit_5_(LOC106783639),_transcript_variant_X2,_mRNA
XM_014742345.1	LOC106783637	XP_014597831.1	PREDICTED:_Polistes_canadensis_KH_domain-containing,_RNA-binding,_signal_transduction-associated_protein_3_(LOC106783637),_transcript_variant_X1,_mRNA
XM_014742346.1	LOC106783640	XP_014597832.1	PREDICTED:_Polistes_canadensis_proton-coupled_amino_acid_transporter_1-like_(LOC106783640),_mRNA
XM_014742347.1	LOC106783641	XP_014597833.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783641_(LOC106783641),_transcript_variant_X1,_mRNA
XM_014742348.1	LOC106783641	XP_014597834.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783641_(LOC106783641),_transcript_variant_X2,_mRNA
XM_014742349.1	LOC106783641	XP_014597835.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783641_(LOC106783641),_transcript_variant_X3,_mRNA
XM_014742350.1	LOC106783641	XP_014597836.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783641_(LOC106783641),_transcript_variant_X4,_mRNA
XM_014742351.1	LOC106783641	XP_014597837.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783641_(LOC106783641),_transcript_variant_X5,_mRNA
XM_014742352.1	LOC106783641	XP_014597838.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783641_(LOC106783641),_transcript_variant_X6,_mRNA
XM_014742353.1	LOC106783642	XP_014597839.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783642_(LOC106783642),_mRNA
XM_014742354.1	LOC106783643	XP_014597840.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783643_(LOC106783643),_mRNA
XM_014742355.1	LOC106783644	XP_014597841.1	PREDICTED:_Polistes_canadensis_synaptic_vesicle_glycoprotein_2B-like_(LOC106783644),_mRNA
XM_014742356.1	LOC106783645	XP_014597842.1	PREDICTED:_Polistes_canadensis_vesicle_transport_protein_USE1_(LOC106783645),_mRNA
XM_014742357.1	LOC106783637	XP_014597843.1	PREDICTED:_Polistes_canadensis_KH_domain-containing,_RNA-binding,_signal_transduction-associated_protein_3_(LOC106783637),_transcript_variant_X3,_mRNA
XM_014742358.1	LOC106783646	XP_014597844.1	PREDICTED:_Polistes_canadensis_IQ_domain-containing_protein_H-like_(LOC106783646),_mRNA
XM_014742359.1	LOC106783647	XP_014597845.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783647_(LOC106783647),_mRNA
XM_014742360.1	LOC106783648	XP_014597846.1	PREDICTED:_Polistes_canadensis_structural_maintenance_of_chromosomes_protein_1A-like_(LOC106783648),_mRNA
XM_014742361.1	LOC106783649	XP_014597847.1	PREDICTED:_Polistes_canadensis_structural_maintenance_of_chromosomes_protein_1A-like_(LOC106783649),_mRNA
XM_014742362.1	LOC106783650	XP_014597848.1	PREDICTED:_Polistes_canadensis_transmembrane_protease_serine_9-like_(LOC106783650),_mRNA
XM_014742363.1	LOC106783651	XP_014597849.1	PREDICTED:_Polistes_canadensis_factor_VIII_intron_22_protein-like_(LOC106783651),_mRNA
XM_014742364.1	LOC106783652	XP_014597850.1	PREDICTED:_Polistes_canadensis_UDP-glucose_4-epimerase-like_(LOC106783652),_mRNA
XM_014742365.1	LOC106783653	XP_014597851.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783653_(LOC106783653),_partial_mRNA
XM_014742366.1	LOC106783655	XP_014597852.1	PREDICTED:_Polistes_canadensis_homeobox_protein_engrailed-2-B-like_(LOC106783655),_mRNA
XM_014742367.1	LOC106783657	XP_014597853.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783657),_transcript_variant_X1,_mRNA
XM_014742368.1	LOC106783657	XP_014597854.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783657),_transcript_variant_X2,_mRNA
XM_014742369.1	LOC106783657	XP_014597855.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783657),_transcript_variant_X3,_mRNA
XM_014742370.1	LOC106783657	XP_014597856.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783657),_transcript_variant_X4,_mRNA
XM_014742371.1	LOC106783656	XP_014597857.1	PREDICTED:_Polistes_canadensis_transmembrane_and_ubiquitin-like_domain-containing_protein_1_(LOC106783656),_transcript_variant_X1,_mRNA
XM_014742372.1	LOC106783657	XP_014597858.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783657),_transcript_variant_X5,_mRNA
XM_014742373.1	LOC106783657	XP_014597859.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783657),_transcript_variant_X6,_mRNA
XM_014742374.1	LOC106783657	XP_014597860.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783657),_transcript_variant_X7,_mRNA
XM_014742375.1	LOC106783657	XP_014597861.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783657),_transcript_variant_X8,_mRNA
XM_014742376.1	LOC106783657	XP_014597862.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783657),_transcript_variant_X9,_mRNA
XM_014742377.1	LOC106783657	XP_014597863.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783657),_transcript_variant_X10,_mRNA
XM_014742378.1	LOC106783658	XP_014597864.1	PREDICTED:_Polistes_canadensis_calcium_and_integrin-binding_protein_1-like_(LOC106783658),_mRNA
XM_014742379.1	LOC106783659	XP_014597865.1	PREDICTED:_Polistes_canadensis_muscarinic_acetylcholine_receptor_DM1_(LOC106783659),_transcript_variant_X1,_mRNA
XM_014742380.1	LOC106783659	XP_014597866.1	PREDICTED:_Polistes_canadensis_muscarinic_acetylcholine_receptor_DM1_(LOC106783659),_transcript_variant_X2,_mRNA
XM_014742381.1	LOC106783656	XP_014597867.1	PREDICTED:_Polistes_canadensis_transmembrane_and_ubiquitin-like_domain-containing_protein_1_(LOC106783656),_transcript_variant_X2,_mRNA
XM_014742382.1	LOC106783659	XP_014597868.1	PREDICTED:_Polistes_canadensis_muscarinic_acetylcholine_receptor_DM1_(LOC106783659),_transcript_variant_X3,_mRNA
XM_014742383.1	LOC106783659	XP_014597869.1	PREDICTED:_Polistes_canadensis_muscarinic_acetylcholine_receptor_DM1_(LOC106783659),_transcript_variant_X4,_mRNA
XM_014742384.1	LOC106783660	XP_014597870.1	PREDICTED:_Polistes_canadensis_activator_of_90_kDa_heat_shock_protein_ATPase_homolog_1_(LOC106783660),_mRNA
XM_014742385.1	LOC106783661	XP_014597871.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783661),_transcript_variant_X1,_mRNA
XM_014742386.1	LOC106783661	XP_014597872.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783661),_transcript_variant_X2,_mRNA
XM_014742387.1	LOC106783661	XP_014597873.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783661),_transcript_variant_X3,_mRNA
XM_014742388.1	LOC106783661	XP_014597874.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783661),_transcript_variant_X4,_mRNA
XM_014742389.1	LOC106783661	XP_014597875.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783661),_transcript_variant_X5,_mRNA
XM_014742390.1	LOC106783661	XP_014597876.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783661),_transcript_variant_X6,_mRNA
XM_014742391.1	LOC106783656	XP_014597877.1	PREDICTED:_Polistes_canadensis_transmembrane_and_ubiquitin-like_domain-containing_protein_1_(LOC106783656),_transcript_variant_X3,_mRNA
XM_014742392.1	LOC106783661	XP_014597878.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783661),_transcript_variant_X7,_mRNA
XM_014742393.1	LOC106783661	XP_014597879.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783661),_transcript_variant_X8,_mRNA
XM_014742394.1	LOC106783661	XP_014597880.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783661),_transcript_variant_X9,_mRNA
XM_014742395.1	LOC106783661	XP_014597881.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783661),_transcript_variant_X10,_mRNA
XM_014742396.1	LOC106783661	XP_014597882.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783661),_transcript_variant_X11,_mRNA
XM_014742397.1	LOC106783661	XP_014597883.1	PREDICTED:_Polistes_canadensis_glutamate-gated_chloride_channel_(LOC106783661),_transcript_variant_X12,_mRNA
