TranscriptID	GeneID	ProteinID	Description
NM_001011620.1	LOC406147	NP_001011620.1	Apis_mellifera_short-chain_dehydrogenase/reductase_(LOC406147),_mRNA
NM_001011621.1	nAChRa7	NP_001011621.1	Apis_mellifera_nicotinic_acetylcholine_receptor_alpha7_subunit_(nAChRa7),_mRNA
NM_001011622.1	Mrjp6	NP_001011622.1	Apis_mellifera_major_royal_jelly_protein_6_(Mrjp6),_mRNA
NM_001011623.1	Glurb	NP_001011623.1	Apis_mellifera_metabotropic_glutamate_receptor_B_(Glurb),_mRNA
NM_001011624.1	mGlutR1	NP_001011624.1	Apis_mellifera_metabotropic_glutamate_receptor_1_(mGlutR1),_mRNA
NM_001011625.2	nAChRa2	NP_001011625.1	Apis_mellifera_nicotinic_acetylcholine_receptor_alpha2_subunit_(nAChRa2),_mRNA
NM_001011626.2	PRF	NP_001011626.2	Apis_mellifera_profilin_(PRF)
NM_001011627.1	PPO	NP_001011627.1	Apis_mellifera_phenoloxidase_subunit_A3_(PPO),_mRNA
NM_001011628.2	Ef-1a-f1	NP_001011628.1	Apis_mellifera_translation_elongation_factor_eEF-1_alpha_chain_(Ef-1a-f1),_mRNA
NM_001011629.1	Mblk-1	NP_001011629.1	Apis_mellifera_transcription_factor_mblk-1-like_(Mblk-1),_mRNA
NM_001011630.1	Fabp	NP_001011630.1	Apis_mellifera_fatty_acid_binding_protein_(Fabp),_mRNA
NM_001011631.1	E74	NP_001011631.1	Apis_mellifera_ecdysteroid-regulated_gene_E74_(E74),_mRNA
NM_001011632.2	Gycbeta1	NP_001011632.1	Apis_mellifera_guanylate_cyclase,_soluble,_beta_1_(Gycbeta1),_mRNA
NM_001011633.1	TyHyd	NP_001011633.1	Apis_mellifera_tyrosine_hydroxylase_(TyHyd),_mRNA
NM_001011634.2	Usp	NP_001011634.1	Apis_mellifera_ultraspiracle_(Usp),_mRNA
NM_001011635.1	Y-f	NP_001011635.1	Apis_mellifera_yellow-f_(Y-f),_mRNA
NM_001011636.1	Fabp	NP_001011636.1	Apis_mellifera_FABP-like_protein_(Fabp),_mRNA
NM_001011637.1	Twi	NP_001011637.1	Apis_mellifera_twist_(Twi),_mRNA
NM_001011638.1	Def2	NP_001011638.1	Apis_mellifera_defensin_2_(Def2),_mRNA
NM_001011639.2	Lop1	NP_001011639.2	Apis_mellifera_long_wavelength_sensitive_opsin_1_(Lop1),_mRNA
NM_001011640.1	JHBP-1	NP_001011640.1	Apis_mellifera_take-out-like_carrier_protein_(JHBP-1),_mRNA
NM_001011641.1	Ho	NP_001011641.1	Apis_mellifera_heme_oxygenase_(Ho),_mRNA
NM_001011643.1	Gat-1B	NP_001011643.1	Apis_mellifera_GABA_neurotransmitter_transporter-1B_(Gat-1B),_mRNA
NM_001011644.2	c-mos	NP_001011644.1	Apis_mellifera_mos_protein_(c-mos),_mRNA
NM_001011650.1	sGC-alpha1	NP_001011650.1	Apis_mellifera_soluble_guanylyl_cyclase_alpha_1_subunit_(sGC-alpha1),_mRNA
NM_001011652.2	TpnCIIIb	NP_001011652.1	Apis_mellifera_troponin_C_type_IIIb_(TpnCIIIb),_mRNA
NM_001011653.2	TpnCIIa	NP_001011653.2	Apis_mellifera_troponin_C_type_IIa_(TpnCIIa),_mRNA
NM_001011654.2	TpnCIIb	NP_001011654.1	Apis_mellifera_troponin_C_type_IIb_(TpnCIIb),_mRNA
NM_001012429.1	LOC503505	NP_001012431.1	Apis_mellifera_venom_protein_2_(LOC503505),_mRNA
NM_001012615.1	crh-BP	NP_001012633.1	Apis_mellifera_corticotropin_releasing_hormone_binding_protein_(crh-BP),_mRNA
NM_001012627.1	sGCbeta-3	NP_001012645.1	Apis_mellifera_soluble_guanylyl_cyclase_beta-3_(sGCbeta-3),_mRNA
NM_001012962.1	NOS	NP_001012980.1	Apis_mellifera_nitric_oxide_synthase_(NOS),_mRNA
NM_001012963.1	Crz	NP_001012981.1	Apis_mellifera_corazonin_(Crz),_mRNA
NM_001013006.1	EphR	NP_001013024.1	Apis_mellifera_Eph_receptor_tyrosine_kinase_(EphR),_mRNA
NM_001013359.2	Acph-1	NP_001013377.2	Apis_mellifera_venom_acid_phosphatase_(Acph-1),_mRNA
NM_001013361.1	18-w	NP_001013379.1	Apis_mellifera_18-wheeler_(18-w),_mRNA
NM_001014429.1	Mrjp7	NP_001014429.1	Apis_mellifera_major_royal_jelly_protein_7_(Mrjp7),_mRNA
NM_001014430.1	TpnCI	NP_001014430.1	Apis_mellifera_troponin_C_type_I_(TpnCI),_mRNA
NM_001014983.1	Dop3	NP_001014983.1	Apis_mellifera_D2-like_dopamine_receptor_(Dop3),_mRNA
NM_001014991.1	Dscam	NP_001014991.1	Apis_mellifera_Down_syndrome_cell_adhesion_molecule_(Dscam),_mRNA
NM_001014992.2	Ip3k	NP_001014992.2	Apis_mellifera_inositol_1,4,5-triphosphate_kinase_(Ip3k),_mRNA
NM_001014993.1	EF1a-F2	NP_001014993.1	Apis_mellifera_elongation_factor_1-alpha_F2_(EF1a-F2),_mRNA
NM_001014994.1	Gpdh	NP_001014994.1	Apis_mellifera_glycerol-3-phosphate_dehydrogenase_(Gpdh),_mRNA
NM_001024697.1	Mrjp9	NP_001019868.1	Apis_mellifera_major_royal_jelly_protein_9_(Mrjp9),_mRNA
NM_001032361.1	Fstl5	NP_001027532.1	Apis_mellifera_follistatin-like_5_(Fstl5),_mRNA
NM_001037318.2	LOC410755	NP_001032395.1	Apis_mellifera_tyramine_receptor-like_(LOC410755),_mRNA
NM_001039968.1	LOC408985	NP_001035057.1	Apis_mellifera_pteropsin_(LOC408985),_mRNA
NM_001040203.1	Gb15078	NP_001035293.1	Apis_mellifera_GB15078_protein_(Gb15078),_mRNA
NM_001040204.1	Obp10	NP_001035294.1	Apis_mellifera_odorant_binding_protein_10_(Obp10),_mRNA
NM_001040205.1	Obp16	NP_001035295.1	Apis_mellifera_odorant_binding_protein_16_(Obp16),_mRNA
NM_001040206.1	Obp21	NP_001035296.1	Apis_mellifera_odorant_binding_protein_21_(Obp21),_mRNA
NM_001040207.1	Obp17	NP_001035297.1	Apis_mellifera_odorant_binding_protein_17_(Obp17),_mRNA
NM_001040208.1	Obp15	NP_001035298.1	Apis_mellifera_odorant_binding_protein_15_(Obp15),_mRNA
NM_001040209.1	Obp19	NP_001035299.1	Apis_mellifera_odorant_binding_protein_19_(Obp19),_mRNA
NM_001040220.1	Obp7	NP_001035310.1	Apis_mellifera_odorant_binding_protein_7_(Obp7),_mRNA
NM_001040221.1	Obp3	NP_001035311.1	Apis_mellifera_odorant_binding_protein_3_(Obp3),_mRNA
NM_001040223.1	Obp14	NP_001035313.1	Apis_mellifera_odorant_binding_protein_14_(Obp14),_mRNA
NM_001040224.1	Obp13	NP_001035314.1	Apis_mellifera_odorant_binding_protein_13_(Obp13),_mRNA
NM_001040225.1	Obp9	NP_001035315.1	Apis_mellifera_odorant_binding_protein_9_(Obp9),_mRNA
NM_001040226.1	Obp11	NP_001035316.1	Apis_mellifera_odorant_binding_protein_11_(Obp11),_mRNA
NM_001040227.1	Obp18	NP_001035317.1	Apis_mellifera_odorant_binding_protein_18_(Obp18),_mRNA
NM_001040229.1	Obp12	NP_001035319.1	Apis_mellifera_odorant_binding_protein_12_(Obp12),_mRNA
NM_001040230.1	AChE-2	NP_001035320.1	Apis_mellifera_acetylcholinesterase_2_(AChE-2),_mRNA
NM_001040231.1	nanos	NP_001035321.1	Apis_mellifera_protein_nanos_(nanos),_mRNA
NM_001040233.1	Cyp4g11	NP_001035323.1	Apis_mellifera_cytochrome_P450_4G11_(Cyp4g11),_mRNA
NM_001040234.1	Cyp6as5	NP_001035324.1	Apis_mellifera_cytochrome_P450_6AS5_(Cyp6as5),_mRNA
NM_001040235.2	Abscam	NP_001035325.2	Apis_mellifera_Dscam_family_member_AbsCAM_(Abscam),_mRNA
NM_001040236.1	AGLU2	NP_001035326.1	Apis_mellifera_alpha_glucosidase_2_(AGLU2),_mRNA
NM_001040237.1	NFRKB	NP_001035327.1	Apis_mellifera_nuclear_factor_related_to_kappaB_binding_protein_(NFRKB),_mRNA
NM_001040255.1	vas	NP_001035345.1	Apis_mellifera_ATP-dependent_RNA_helicase_vasa_(vas),_mRNA
NM_001040256.1	TpnI	NP_001035346.1	Apis_mellifera_troponin_I_(TpnI),_mRNA
NM_001040257.1	Cyp314a1	NP_001035347.1	Apis_mellifera_cytochrome_P450_314A1_(Cyp314a1),_mRNA
NM_001040258.1	TpnT	NP_001035348.1	Apis_mellifera_troponin_T,_skeletal_muscle_(TpnT),_mRNA
NM_001040259.1	Hbg2	NP_001035349.1	Apis_mellifera_alpha-glucosidase_(Hbg2),_mRNA
NM_001040262.2	Pburs	NP_001035352.2	Apis_mellifera_bursicon_subunit_beta_(Pburs),_mRNA
NM_001040263.1	Cbs	NP_001035353.1	Apis_mellifera_cystathionine_beta-synthase_(Cbs),_mRNA
NM_001040264.1	Akhr	NP_001035354.1	Apis_mellifera_adipokinetic_hormone_receptor_(Akhr),_mRNA
NM_001040265.1	LOC551604	NP_001035355.1	Apis_mellifera_Rh-like_protein_(LOC551604),_mRNA
NM_001040266.2	Br-c	NP_001035356.1	Apis_mellifera_broad-complex_(Br-c),_mRNA
NM_001040267.1	uzip	NP_001035357.1	Apis_mellifera_unzipped_(uzip),_mRNA
NM_001040269.1	Qbp-1	NP_001035359.1	Apis_mellifera_Queen_brain-selective_protein-1_(Qbp-1),_mRNA
NM_001040270.1	LOC678674	NP_001035360.1	Apis_mellifera_venom_allergen_Api_m_6_(LOC678674),_mRNA
NM_001040277.1	Su(var)3-9	NP_001035367.1	Apis_mellifera_suppressor_of_variegation_3-9_(Su(var)3-9)
NM_001040681.1	Tert	NP_001035771.1	Apis_mellifera_telomerase_reverse_transcriptase_(Tert),_mRNA
NM_001042458.1	Mad	NP_001035923.1	Apis_mellifera_MAX_dimerization_protein_(Mad),_mRNA
NM_001042460.1	Metrn	NP_001035925.1	Apis_mellifera_meteorin_(Metrn),_mRNA
NM_001077808.1	Ac3	NP_001071276.1	Apis_mellifera_adenylate_cyclase_3_(Ac3),_mRNA
NM_001077809.1	GluCl	NP_001071277.1	Apis_mellifera_glutamate-gated_chloride_channel_(GluCl),_mRNA
NM_001077810.1	CSP2	NP_001071278.1	Apis_mellifera_chemosensory_protein_2_(CSP2),_mRNA
NM_001077811.1	Hiscl1	NP_001071279.1	Apis_mellifera_histamine-gated_chloride_channel_1_(Hiscl1),_mRNA
NM_001077812.1	LCCH3	NP_001071280.1	Apis_mellifera_ligand-gated_chloride_channel_homolog_3_(LCCH3),_mRNA
NM_001077813.1	Ripk5	NP_001071281.1	Apis_mellifera_receptor_interacting_protein_kinase_5_(Ripk5),_mRNA
NM_001077814.1	CSP4	NP_001071282.1	Apis_mellifera_chemosensory_protein_4_(CSP4),_mRNA
NM_001077815.1	LOC552640	NP_001071283.1	Apis_mellifera_ammonium_transporter_1-like_(LOC552640),_mRNA
NM_001077816.1	pHCl	NP_001071284.1	Apis_mellifera_ligand-gated_ion_channel_pHCl_(pHCl)
NM_001077817.1	Stg-1	NP_001071285.1	Apis_mellifera_stargazin_related_protein_STG-1_(Stg-1),_mRNA
NM_001077818.1	SsRbeta	NP_001071286.1	Apis_mellifera_signal_sequence_receptor_beta_(SsRbeta),_mRNA
NM_001077819.1	CSP6	NP_001071287.1	Apis_mellifera_chemosensory_protein_6_(CSP6),_mRNA
NM_001077820.1	CSP1	NP_001071288.1	Apis_mellifera_chemosensory_protein_1_(CSP1),_mRNA
NM_001077821.1	5-ht7	NP_001071289.1	Apis_mellifera_serotonin_receptor_7_(5-ht7),_mRNA
NM_001077822.1	Amel_8916	NP_001071290.1	Apis_mellifera_cys-loop_ligand-gated_ion_channel_subunit_8916_(Amel_8916),_mRNA
NM_001077823.2	Glob1	NP_001071291.1	Apis_mellifera_globin_1_(Glob1),_mRNA
NM_001077824.1	Tbh	NP_001071292.1	Apis_mellifera_tyramine_beta_hydroxylase_(Tbh),_mRNA
NM_001077825.1	Lop2	NP_001071293.1	Apis_mellifera_long_wavelength_sensitive_opsin_2_(Lop2),_mRNA
NM_001078661.1	LOC751767	NP_001072129.1	Apis_mellifera_chemosensory_protein_5_(LOC751767),_mRNA
NM_001079560.1	nAChRb1	NP_001073028.1	Apis_mellifera_nicotinic_acetylcholine_receptor_beta1_subunit_(nAChRb1),_mRNA
NM_001079561.1	nAChRa3	NP_001073029.1	Apis_mellifera_nicotinic_acetylcholine_receptor_alpha3_subunit_(nAChRa3),_mRNA
NM_001080094.2	LOC411672	NP_001073563.2	Apis_mellifera_neuropeptides_capa_receptor-like_protein_(LOC411672),_mRNA
NM_001080095.1	nAChRa6	NP_001073564.1	Apis_mellifera_nicotinic_acetylcholine_receptor_alpha6_subunit_(nAChRa6),_mRNA
NM_001080110.1	E75	NP_001073579.1	Apis_mellifera_ecdysone-induced_protein_75_(E75),_mRNA
NM_001080205.1	Stip	NP_001073674.1	Apis_mellifera_Sip1/TFIP11_interacting_protein_(Stip),_mRNA
NM_001083630.1	Cry2	NP_001077099.1	Apis_mellifera_cryptochrome_2_(Cry2),_mRNA
NM_001085344.1	Apd-3	NP_001078813.1	Apis_mellifera_apidermin_3_(Apd-3),_mRNA
NM_001085345.1	Apd-1	NP_001078814.1	Apis_mellifera_apidermin_1_(Apd-1),_mRNA
NM_001085346.1	Apd-2	NP_001078815.1	Apis_mellifera_apidermin_2_(Apd-2),_mRNA
NM_001097154.2	Tpi	NP_001090623.1	Apis_mellifera_triosephosphate_isomerase_(Tpi),_mRNA
NM_001098167.1	PRF	NP_001091636.1	Apis_mellifera_profilin_(PRF)
NM_001098214.1	Adar	NP_001091684.1	Apis_mellifera_adenosine_deaminase_acting_on_RNA_(Adar),_mRNA
NM_001098215.2	Ecr	NP_001091685.2	Apis_mellifera_ecdysone_receptor_(Ecr)
NM_001098217.1	Y-h	NP_001091687.1	Apis_mellifera_yellow-h_(Y-h),_mRNA
NM_001098218.1	LOC726755	NP_001091688.1	Apis_mellifera_pyrokinin-like_receptor_2_(LOC726755),_mRNA
NM_001098219.1	LOC551621	NP_001091689.1	Apis_mellifera_leucine_rich_repeat_G_protein_coupled_receptor_(LOC551621),_mRNA
NM_001098220.1	nAChRa1	NP_001091690.1	Apis_mellifera_nicotinic_acetylcholine_receptor_alpha1_subunit_(nAChRa1),_mRNA
NM_001098221.1	nAChRa4	NP_001091691.1	Apis_mellifera_nicotinic_acetylcholine_receptor_alpha4_subunit_(nAChRa4),_mRNA
NM_001098223.1	Y-y	NP_001091693.1	Apis_mellifera_yellow-y_(Y-y),_mRNA
NM_001098224.2	nAChRa9	NP_001091694.1	Apis_mellifera_nicotinic_acetylcholine_receptor_alpha9_subunit_(nAChRa9),_mRNA
NM_001098228.1	Y-e3	NP_001091698.1	Apis_mellifera_yellow-e3_(Y-e3),_mRNA
NM_001098229.1	nAChRb2	NP_001091699.1	Apis_mellifera_nicotinic_acetylcholine_receptor_beta2_subunit_(nAChRb2),_mRNA
NM_001098232.1	LOC726393	NP_001091702.1	Apis_mellifera_capa_receptor-like_GPCR_(LOC726393),_mRNA
NM_001098234.1	Burs	NP_001091704.1	Apis_mellifera_bursicon_subunit_alpha_(Burs),_mRNA
NM_001098717.1	Hex70c	NP_001092187.1	Apis_mellifera_hexamerin_70c_(Hex70c),_mRNA
NM_001101023.1	Hex110	NP_001094493.1	Apis_mellifera_hexamerin_110_(Hex110),_mRNA
NM_001104949.1	Foxp	NP_001098419.1	Apis_mellifera_FoxP_protein_(Foxp),_mRNA
NM_001110712.2	Pban	NP_001104182.1	Apis_mellifera_pheromone_biosynthesis-activating_neuropeptide_(Pban),_mRNA
NM_001110764.1	Hex70a	NP_001104234.1	Apis_mellifera_hexamerin_70a_(Hex70a),_mRNA
NM_001111255.1	Dsx	NP_001104725.1	Apis_mellifera_doublesex_(Dsx)
NM_001112670.1	LOC724886	NP_001106140.1	Apis_mellifera_uncharacterized_LOC724886_(LOC724886),_mRNA
NM_001112671.1	LOC410795	NP_001106141.1	Apis_mellifera_trehalase_(LOC410795),_mRNA
NM_001112672.2	LOC551408	NP_001106142.2	Apis_mellifera_uncharacterized_LOC551408_(LOC551408),_mRNA
NM_001113285.1	SIFR	NP_001106756.1	Apis_mellifera_SIFamide_receptor_(SIFR),_mRNA
NM_001113739.1	Tret1	NP_001107211.1	Apis_mellifera_trehalose_transporter_1_(Tret1),_mRNA
NM_001114188.1	Eyg	NP_001107660.1	Apis_mellifera_eyegone_(Eyg),_mRNA
NM_001114198.1	A4	NP_001107670.1	Apis_mellifera_apolipophorin-III-like_protein_(A4),_mRNA
NM_001115078.1	Msx	NP_001108550.1	Apis_mellifera_homeobox_protein_Msx_(Msx),_mRNA
NM_001123013.2	Dcr-1	NP_001116485.2	Apis_mellifera_endoribonuclease_Dicer-1_(Dcr-1),_mRNA
NM_001126243.2	LOC410337	NP_001119715.2	Apis_mellifera_venom_dipeptidylpeptidase_IV_(LOC410337),_mRNA
NM_001126244.1	Est-6	NP_001119716.1	Apis_mellifera_venom_carboxylesterase-6_(Est-6),_mRNA
NM_001131037.1	Dll	NP_001124509.1	Apis_mellifera_distal-less_(Dll),_mRNA
NM_001131038.1	H	NP_001124510.1	Apis_mellifera_hairless_(H),_mRNA
NM_001134227.1	LOC408474	NP_001127699.1	Apis_mellifera_apyrase_(LOC408474),_mRNA
NM_001134333.1	LOC100187599	NP_001127805.1	Apis_mellifera_uncharacterized_LOC100187599_(LOC100187599),_mRNA
NM_001134371.1	Nrk1	NP_001127843.1	Apis_mellifera_nicotinamide_riboside_kinase_(Nrk1),_mRNA
NM_001134668.1	LOC409389	NP_001128140.1	Apis_mellifera_ubiquitin_specific_protease-like_(LOC409389),_mRNA
NM_001134669.1	LOC100188904	NP_001128141.1	Apis_mellifera_uncharacterized_LOC100188904_(LOC100188904),_mRNA
NM_001134722.1	LOC100188940	NP_001128194.1	Apis_mellifera_dolichyl-diphosphooligosaccharide--protein_glycosyltransferase_subunit_4_(LOC100188940),_mRNA
NM_001134828.1	Fem	NP_001128300.1	Apis_mellifera_feminizer_(Fem),_mRNA
NM_001134934.1	Gat-a	NP_001128406.1	Apis_mellifera_GABA_neurotransmitter_transporter-1A_(Gat-a),_mRNA
NM_001134935.1	Dsx	NP_001128407.1	Apis_mellifera_doublesex_(Dsx)
NM_001134936.1	Dsx	NP_001128408.1	Apis_mellifera_doublesex_(Dsx)
NM_001134940.1	Pcl	NP_001128412.1	Apis_mellifera_polycomblike_(Pcl),_mRNA
NM_001134942.1	Rnft2	NP_001128414.1	Apis_mellifera_ring_finger_protein,_transmembrane_2_(Rnft2),_mRNA
NM_001134943.1	Or2	NP_001128415.1	Apis_mellifera_odorant_receptor_2_(Or2),_mRNA
NM_001134947.1	LOC406105	NP_001128419.1	Apis_mellifera_esterase_A2_(LOC406105),_mRNA
NM_001134948.1	Pkc	NP_001128420.1	Apis_mellifera_protein_kinase_C_(Pkc),_mRNA
NM_001134949.1	Gfat2	NP_001128421.1	Apis_mellifera_glucosamine-fructose-6-phosphate_aminotransferase_2_(Gfat2),_mRNA
NM_001134950.1	Camkii	NP_001128422.1	Apis_mellifera_calcium/calmodulin-dependent_protein_kinase_II_(Camkii),_mRNA
NM_001135735.1	Cryl1	NP_001129207.1	Apis_mellifera_lambda_crystallin-like_protein_(Cryl1),_mRNA
NM_001135905.1	Rpl39	NP_001129377.1	Apis_mellifera_ribosomal_protein_L39_(Rpl39),_mRNA
NM_001135909.1	Rpl41	NP_001129381.1	Apis_mellifera_ribosomal_protein_L41_(Rpl41),_mRNA
NM_001136187.1	LOC725609	NP_001129659.1	Apis_mellifera_heat_shock_factor_binding_protein_1-like_(LOC725609),_mRNA
NM_001136206.1	Fibroin1	NP_001129678.1	Apis_mellifera_silk_fibroin_1_(Fibroin1),_mRNA
NM_001136207.1	Fibroin2	NP_001129679.1	Apis_mellifera_silk_fibroin_2_(Fibroin2),_mRNA
NM_001136208.1	Fibroin3	NP_001129680.1	Apis_mellifera_silk_fibroin_3_(Fibroin3),_mRNA
NM_001136209.1	Fibroin4	NP_001129681.1	Apis_mellifera_silk_fibroin_4_(Fibroin4),_mRNA
NM_001141964.1	Emc	NP_001135436.1	Apis_mellifera_extra_macrochaetae_(Emc),_mRNA
NM_001142436.1	LOC552484	NP_001135908.1	Apis_mellifera_uncharacterized_LOC552484_(LOC552484),_mRNA
NM_001142461.1	Tmem98	NP_001135933.1	Apis_mellifera_transmembrane_protein_98_(Tmem98),_mRNA
NM_001142561.1	Syt20	NP_001136033.1	Apis_mellifera_synaptotagmin_20_(Syt20),_mRNA
NM_001142607.1	Eth	NP_001136079.1	Apis_mellifera_ecdysis_triggering_hormone_(Eth),_mRNA
NM_001142609.1	LOC726134	NP_001136081.1	Apis_mellifera_carboxylesterase_(LOC726134),_mRNA
NM_001142637.1	Grp	NP_001136109.1	Apis_mellifera_glycine-rich_cuticle_protein_(Grp),_mRNA
NM_001142656.2	GstS4	NP_001136128.1	Apis_mellifera_glutathione_S-transferase_S4_(GstS4),_mRNA
NM_001142693.1	LOC100217360	NP_001136165.1	Apis_mellifera_uncharacterized_LOC100217360_(LOC100217360),_mRNA
NM_001143878.1	pHCl	NP_001137350.1	Apis_mellifera_ligand-gated_ion_channel_pHCl_(pHCl)
